kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,PENJARINGAN,PLUIT,RW 01,1,3,0,0,10 s.d. 30 cm,tgl. 15 April,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,"RW 01, 02, 04, 05, 07, 08",6,14,0,0,10 s.d. 90 cm,"tgl. 06, 30 April",0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,"RW 03, 05",2,8,0,0,20 s.d. 30 cm,tgl. 27 April,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,CENGKARENG BARAT,RW 010,1,1,0,0,15 cm,tgl. 06 April,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,RAWA BUAYA,"RW 02, 04, 08",3,6,0,0,20 cm,"tgl. 06, 27 April",0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,"RW 01, 04, 05, 010",4,5,20,65,10 s.d. 60 cm,"tgl. 06, 27 April",0,0,0,0,65,1,0,0
Jakarta Barat,KEMBANGAN,SRENGSENG,"RW 05, 08",2,4,0,0,15 s.d. 20 cm,tgl. 06 April,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,"RW 01, 05",2,2,0,0,50 cm,"tgl. 06, 27 April",0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,CIPEDAK,"RW 04, 05",2,2,0,0,50 cm,tgl. 05 April,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,JAGAKARSA,RW 03,1,1,0,0,40 cm,tgl. 10 April,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,"RW 01, 03",2,3,0,0,10 s.d. 80 cm,"tgl. 05, 10, 13, 26, 27 April",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,RAGUNAN,RW 09,1,1,0,0,30 cm,tgl. 13 April,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"RW 05, 08",2,2,0,0,10 s.d. 30 cm,"tgl. 18, 19, 29 April",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,JATI PADANG,"RW 02, 03, 05, 06",4,8,0,0,15 s.d. 70 cm,"tgl. 27, 29 April",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN BARAT,"RW 04, 07, 08",3,12,0,0,10 s.d. 30 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"RW 05, 08",2,4,0,0,30 s.d. 40 cm,"tgl. 06, 26, 29 April",0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,"RW 03, 04",2,2,0,0,30 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,KEBON BARU,"RW 05, 06, 010, 012",4,6,0,0,15 s.d. 30 cm,"tgl. 06, 15, 29 April",0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,TEBET BARAT,RW 07,1,1,0,0,40 cm,tgl. 29 April,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,"RW 04, 05",2,2,0,0,10 s.d. 30 cm,tgl. 06 April,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"RW 01, 02, 03, 04",4,6,0,0,10 s.d. 90 cm,"tgl. 29, 30 April",0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,"RW 01, 03",2,2,0,0,20 s.d. 50 cm,tgl. 29 April,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,LEBAK BULUS,"RW 04, 08",2,2,3,10,50 s.d. 70 cm,tgl. 26 April,0,0,0,0,10,1,0,0
Jakarta Selatan,CILANDAK,CIPETE SELATAN,RW 07,1,1,0,0,50 cm,tgl. 27 April,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,GANDARIA SELATAN,RW 07,1,2,0,0,30 s.d. 80 cm,tgl. 27 April,0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,DUREN TIGA,RW 05,1,1,0,0,20 s.d. 50 cm,"tgl. 29, 30 April",0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,RAWAJATI,RW 04,1,1,0,0,15 cm,tgl. 29 April,0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,KALIBATA,"RW 04, 08",2,2,0,0,10 s.d. 20 cm,"tgl. 29, 30 April",0,0,0,0,0,0,0,0
Jakarta Selatan,PESANGGRAHAN,BINTARO,"RW 01, 04, 09, 011",4,7,0,0,10 s.d. 20 cm,tgl. 29 April,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,GANDARIA UTARA,RW 02,1,2,0,0,30 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,RW 03,1,1,0,0,50 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"RW 04, 05, 07, 08",4,18,248,817,10 s.d. 70 cm,"tgl. 01, 18, 19 April",0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 013,1,2,0,0,10 s.d. 35 cm,tgl. 06 April,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,BIDARA CINA,"RW 07, 011",2,4,49,153,20 s.d. 130 cm,"tgl. 18, 19 April",0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,CIPINANG CEMPEDAK,RW 08,1,1,0,0,15 cm,tgl. 29 April,0,0,0,0,0,0,0,0
Jakarta Timur,PASAR REBO,PEKAYON,RW 07,1,1,0,0,30 cm,tgl. 05 April,0,0,0,0,0,0,0,0
Jakarta Timur,PASAR REBO,KALISARI,RW 02,1,1,0,0,15 cm,tgl. 13 April,0,0,0,0,0,0,0,0
Jakarta Timur,CAKUNG,RAWA TERATE,RW 05,1,1,0,0,10 s.d. 20 cm,tgl. 06 April,0,0,0,0,0,0,0,0
Jakarta Timur,MAKASAR,CIPINANG MELAYU,"RW 03, 04",2,11,172,476,10 s.d. 50 cm,"tgl. 06, 12, 30 April",0,0,0,0,0,0,0,0
Jakarta Timur,MAKASAR,MAKASAR,"RW 02, 03, 04, 05, 06, 07",6,26,545,1380,10 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,MAKASAR,PINANG RANTI,RW 04,1,4,0,0,20 s.d. 40 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,DUREN SAWIT,RW 010,1,1,0,0,10 s.d. 30 cm,tgl. 06 April,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,RW 012,1,1,0,0,15 s.d. 20 cm,"tgl. 12, 30 April",0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,BAMBU APUS,RW 03,1,1,0,0,20 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CAWANG,"RW 01, 02, 03, 05, 08",5,12,0,0,20 s.d. 110 cm,"tgl. 18, 19 April",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CILILITAN,"RW 07, 016",2,2,22,65,10 s.d. 100 cm,"tgl. 19, 29 April",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,BATU AMPAR,"RW 01, 02, 03, 05",4,6,0,0,15 s.d. 45 cm,"tgl. 29, 30 April",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,BALEKAMBANG,RW 02,1,1,0,0,20 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,CIRACAS,"RW 02, 010",2,3,0,0,20 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,RAMBUTAN,"RW 02, 03",2,3,0,0,20 s.d. 50 cm,tgl. 30 April,0,0,0,0,0,0,0,0
